medida,data
0.01,16/09/2023 14:24:51
0.05,16/09/2023 14:24:52
0.07,16/09/2023 14:24:53
0.07,16/09/2023 14:24:54
0.07,16/09/2023 14:24:55
0.06,16/09/2023 14:24:56
0.07,16/09/2023 14:24:57
0.07,16/09/2023 14:24:58
0.07,16/09/2023 14:24:59
0.06,16/09/2023 14:25:00
0.07,16/09/2023 14:25:01
0.07,16/09/2023 14:25:02
0.06,16/09/2023 14:25:03
0.07,16/09/2023 14:25:04
0.07,16/09/2023 14:25:05
0.07,16/09/2023 14:25:06
0.07,16/09/2023 14:25:07
0.07,16/09/2023 14:25:08
0.07,16/09/2023 14:25:09
0.07,16/09/2023 14:25:10
0.07,16/09/2023 14:25:11
0.07,16/09/2023 14:25:12
0.07,16/09/2023 14:25:13
0.07,16/09/2023 14:25:14
0.07,16/09/2023 14:25:15
0.07,16/09/2023 14:25:16
0.07,16/09/2023 14:25:17
0.07,16/09/2023 14:25:18
0.07,16/09/2023 14:25:19
0.07,16/09/2023 14:25:20
0.07,16/09/2023 14:25:21
0.07,16/09/2023 14:25:22
0.07,16/09/2023 14:25:23
0.07,16/09/2023 14:25:24
0.07,16/09/2023 14:25:25
0.07,16/09/2023 14:25:27
0.07,16/09/2023 14:25:28
0.07,16/09/2023 14:25:29
0.06,16/09/2023 14:25:30
0.02,16/09/2023 14:25:31
0.01,16/09/2023 14:25:41
0.05,16/09/2023 14:25:42
0.05,16/09/2023 14:25:43
0.06,16/09/2023 14:25:44
0.06,16/09/2023 14:25:45
0.06,16/09/2023 14:25:46
0.06,16/09/2023 14:25:47
0.06,16/09/2023 14:25:48
0.06,16/09/2023 14:25:49
0.05,16/09/2023 14:25:50
0.02,16/09/2023 14:25:51
0.01,16/09/2023 14:35:51
0.04,16/09/2023 14:35:52
0.05,16/09/2023 14:35:53
0.06,16/09/2023 14:35:54
0.06,16/09/2023 14:35:55
0.06,16/09/2023 14:35:56
0.06,16/09/2023 14:35:57
0.06,16/09/2023 14:35:58
0.06,16/09/2023 14:35:59
0.06,16/09/2023 14:36:00
0.06,16/09/2023 14:36:01
0.06,16/09/2023 14:36:02
0.06,16/09/2023 14:36:03
0.06,16/09/2023 14:36:04
0.06,16/09/2023 14:36:05
0.06,16/09/2023 14:36:06
0.06,16/09/2023 14:36:07
0.06,16/09/2023 14:36:08
0.06,16/09/2023 14:36:09
0.06,16/09/2023 14:36:10
0.06,16/09/2023 14:36:11
0.06,16/09/2023 14:36:12
0.06,16/09/2023 14:36:13
0.06,16/09/2023 14:36:14
0.06,16/09/2023 14:36:15
0.06,16/09/2023 14:36:16
0.06,16/09/2023 14:36:17
0.06,16/09/2023 14:36:18
0.06,16/09/2023 14:36:19
0.06,16/09/2023 14:36:21
0.06,16/09/2023 14:36:22
0.06,16/09/2023 14:36:23
0.06,16/09/2023 14:36:24
0.06,16/09/2023 14:36:25
0.06,16/09/2023 14:36:26
0.06,16/09/2023 14:36:27
0.06,16/09/2023 14:36:28
0.06,16/09/2023 14:36:29
0.06,16/09/2023 14:36:30
0.06,16/09/2023 14:36:31
0.06,16/09/2023 14:36:32
0.06,16/09/2023 14:36:33
0.06,16/09/2023 14:36:34
0.06,16/09/2023 14:36:35
0.06,16/09/2023 14:36:36
0.06,16/09/2023 14:36:37
0.06,16/09/2023 14:36:38
0.06,16/09/2023 14:36:39
0.06,16/09/2023 14:36:40
0.06,16/09/2023 14:36:41
0.06,16/09/2023 14:36:42
0.06,16/09/2023 14:36:43
0.06,16/09/2023 14:36:44
0.06,16/09/2023 14:36:45
0.06,16/09/2023 14:36:46
0.06,16/09/2023 14:36:47
0.06,16/09/2023 14:36:48
0.06,16/09/2023 14:36:49
0.06,16/09/2023 14:36:50
0.06,16/09/2023 14:36:51
0.03,16/09/2023 14:36:52
0.02,16/09/2023 14:37:32
0.03,16/09/2023 14:37:33
0.03,16/09/2023 14:37:34
0.03,16/09/2023 14:37:35
0.03,16/09/2023 14:37:36
0.02,16/09/2023 14:37:37
0.03,16/09/2023 14:37:38
0.02,16/09/2023 14:37:39
0.03,16/09/2023 14:37:40
0.02,16/09/2023 14:37:41
0.03,16/09/2023 14:37:42
0.03,16/09/2023 14:37:43
0.03,16/09/2023 14:37:45
0.03,16/09/2023 14:37:46
0.03,16/09/2023 14:37:47
0.03,16/09/2023 14:37:48
0.03,16/09/2023 14:37:49
0.03,16/09/2023 14:37:50
0.03,16/09/2023 14:37:51
0.03,16/09/2023 14:37:52
0.03,16/09/2023 14:37:53
0.03,16/09/2023 14:37:54
0.01,16/09/2023 14:37:55
0.01,16/09/2023 14:48:27
0.04,16/09/2023 14:48:28
0.04,16/09/2023 14:48:29
0.07,16/09/2023 14:48:30
0.08,16/09/2023 14:48:31
0.08,16/09/2023 14:48:32
0.07,16/09/2023 14:48:33
0.08,16/09/2023 14:48:34
0.08,16/09/2023 14:48:35
0.08,16/09/2023 14:48:36
0.08,16/09/2023 14:48:37
0.08,16/09/2023 14:48:38
0.08,16/09/2023 14:48:39
0.08,16/09/2023 14:48:41
0.08,16/09/2023 14:48:42
0.08,16/09/2023 14:48:43
0.08,16/09/2023 14:48:44
0.07,16/09/2023 14:48:45
0.05,16/09/2023 14:48:46
0.01,16/09/2023 14:51:10
0.05,16/09/2023 14:51:11
0.07,16/09/2023 14:51:12
0.07,16/09/2023 14:51:13
0.07,16/09/2023 14:51:14
0.07,16/09/2023 14:51:15
0.07,16/09/2023 14:51:16
0.07,16/09/2023 14:51:17
0.07,16/09/2023 14:51:18
0.07,16/09/2023 14:51:19
0.07,16/09/2023 14:51:20
0.07,16/09/2023 14:51:21
0.07,16/09/2023 14:51:22
0.07,16/09/2023 14:51:23
0.07,16/09/2023 14:51:24
0.07,16/09/2023 14:51:25
0.07,16/09/2023 14:51:26
0.07,16/09/2023 14:51:27
